time,month.yr,location,cases,disease,lat,lon
1934.583333,Jul-34,ALABAMA,309,measles,32.361538,-86.279118
1934.666667,Aug-34,ALABAMA,202,measles,32.361538,-86.279118
1934.75,Sep-34,ALABAMA,88,measles,32.361538,-86.279118
1934.833333,Oct-34,ALABAMA,107,measles,32.361538,-86.279118
1934.916667,Nov-34,ALABAMA,258,measles,32.361538,-86.279118
1935,Dec-34,ALABAMA,429,measles,32.361538,-86.279118
1935.083333,Jan-35,ALABAMA,609,measles,32.361538,-86.279118
1935.166667,Feb-35,ALABAMA,1633,measles,32.361538,-86.279118
1935.25,Mar-35,ALABAMA,2031,measles,32.361538,-86.279118
1935.333333,Apr-35,ALABAMA,1450,measles,32.361538,-86.279118
1935.416667,May-35,ALABAMA,932,measles,32.361538,-86.279118
1935.5,Jun-35,ALABAMA,320,measles,32.361538,-86.279118
1935.583333,Jul-35,ALABAMA,105,measles,32.361538,-86.279118
1935.666667,Aug-35,ALABAMA,20,measles,32.361538,-86.279118
1935.75,Sep-35,ALABAMA,26,measles,32.361538,-86.279118
1935.833333,Oct-35,ALABAMA,19,measles,32.361538,-86.279118
1935.916667,Nov-35,ALABAMA,24,measles,32.361538,-86.279118
1936,Dec-35,ALABAMA,39,measles,32.361538,-86.279118
1936.083333,Jan-36,ALABAMA,79,measles,32.361538,-86.279118
1936.166667,Feb-36,ALABAMA,103,measles,32.361538,-86.279118
1936.25,Mar-36,ALABAMA,120,measles,32.361538,-86.279118
1936.333333,Apr-36,ALABAMA,144,measles,32.361538,-86.279118
1936.416667,May-36,ALABAMA,73,measles,32.361538,-86.279118
1936.5,Jun-36,ALABAMA,12,measles,32.361538,-86.279118
1936.583333,Jul-36,ALABAMA,22,measles,32.361538,-86.279118
1936.666667,Aug-36,ALABAMA,9,measles,32.361538,-86.279118
1936.75,Sep-36,ALABAMA,3,measles,32.361538,-86.279118
1936.833333,Oct-36,ALABAMA,1,measles,32.361538,-86.279118
1936.916667,Nov-36,ALABAMA,5,measles,32.361538,-86.279118
1937,Dec-36,ALABAMA,5,measles,32.361538,-86.279118
1937.083333,Jan-37,ALABAMA,15,measles,32.361538,-86.279118
1937.166667,Feb-37,ALABAMA,38,measles,32.361538,-86.279118
1937.25,Mar-37,ALABAMA,73,measles,32.361538,-86.279118
1937.333333,Apr-37,ALABAMA,69,measles,32.361538,-86.279118
1937.416667,May-37,ALABAMA,103,measles,32.361538,-86.279118
1937.5,Jun-37,ALABAMA,124,measles,32.361538,-86.279118
1937.583333,Jul-37,ALABAMA,59,measles,32.361538,-86.279118
