time,month_yr,location,cases,disease,lat,lon
1935.583333,Jul-35,ALABAMA,18,polio,32.361538,-86.279118
1935.666667,Aug-35,ALABAMA,7,polio,32.361538,-86.279118
1935.75,Sep-35,ALABAMA,7,polio,32.361538,-86.279118
1935.833333,Oct-35,ALABAMA,3,polio,32.361538,-86.279118
1935.916667,Nov-35,ALABAMA,3,polio,32.361538,-86.279118
1936,Dec-35,ALABAMA,3,polio,32.361538,-86.279118
1936.083333,Jan-36,ALABAMA,5,polio,32.361538,-86.279118
1936.166667,Feb-36,ALABAMA,4,polio,32.361538,-86.279118
1936.25,Mar-36,ALABAMA,5,polio,32.361538,-86.279118
1936.333333,Apr-36,ALABAMA,1,polio,32.361538,-86.279118
1936.416667,May-36,ALABAMA,0,polio,32.361538,-86.279118
1936.5,Jun-36,ALABAMA,12,polio,32.361538,-86.279118
1936.583333,Jul-36,ALABAMA,186,polio,32.361538,-86.279118
1936.666667,Aug-36,ALABAMA,111,polio,32.361538,-86.279118
1936.75,Sep-36,ALABAMA,49,polio,32.361538,-86.279118
1936.833333,Oct-36,ALABAMA,24,polio,32.361538,-86.279118
1936.916667,Nov-36,ALABAMA,17,polio,32.361538,-86.279118
1937,Dec-36,ALABAMA,8,polio,32.361538,-86.279118
1937.083333,Jan-37,ALABAMA,2,polio,32.361538,-86.279118
1937.166667,Feb-37,ALABAMA,3,polio,32.361538,-86.279118
1937.25,Mar-37,ALABAMA,4,polio,32.361538,-86.279118
1937.333333,Apr-37,ALABAMA,2,polio,32.361538,-86.279118
1937.416667,May-37,ALABAMA,3,polio,32.361538,-86.279118
1937.5,Jun-37,ALABAMA,11,polio,32.361538,-86.279118
1937.583333,Jul-37,ALABAMA,8,polio,32.361538,-86.279118
1937.666667,Aug-37,ALABAMA,15,polio,32.361538,-86.279118
1937.75,Sep-37,ALABAMA,15,polio,32.361538,-86.279118
1937.833333,Oct-37,ALABAMA,9,polio,32.361538,-86.279118
1937.916667,Nov-37,ALABAMA,7,polio,32.361538,-86.279118
1938,Dec-37,ALABAMA,6,polio,32.361538,-86.279118
1938.083333,Jan-38,ALABAMA,5,polio,32.361538,-86.279118
1938.166667,Feb-38,ALABAMA,2,polio,32.361538,-86.279118
1938.25,Mar-38,ALABAMA,4,polio,32.361538,-86.279118
1938.333333,Apr-38,ALABAMA,2,polio,32.361538,-86.279118
1938.416667,May-38,ALABAMA,5,polio,32.361538,-86.279118
1938.5,Jun-38,ALABAMA,16,polio,32.361538,-86.279118
1938.583333,Jul-38,ALABAMA,18,polio,32.361538,-86.279118
1938.666667,Aug-38,ALABAMA,7,polio,32.361538,-86.279118
1938.75,Sep-38,ALABAMA,17,polio,32.361538,-86.279118
1938.833333,Oct-38,ALABAMA,8,polio,32.361538,-86.279118
1938.916667,Nov-38,ALABAMA,3,polio,32.361538,-86.279118
1939,Dec-38,ALABAMA,9,polio,32.361538,-86.279118
1939.083333,Jan-39,ALABAMA,2,polio,32.361538,-86.279118
1939.166667,Feb-39,ALABAMA,6,polio,32.361538,-86.279118
1939.25,Mar-39,ALABAMA,2,polio,32.361538,-86.279118
1939.333333,Apr-39,ALABAMA,3,polio,32.361538,-86.279118
1939.416667,May-39,ALABAMA,2,polio,32.361538,-86.279118
1939.5,Jun-39,ALABAMA,3,polio,32.361538,-86.279118
1939.583333,Jul-39,ALABAMA,6,polio,32.361538,-86.279118
1939.666667,Aug-39,ALABAMA,2,polio,32.361538,-86.279118
1939.75,Sep-39,ALABAMA,1,polio,32.361538,-86.279118
1939.833333,Oct-39,ALABAMA,3,polio,32.361538,-86.279118
1939.916667,Nov-39,ALABAMA,4,polio,32.361538,-86.279118
1940,Dec-39,ALABAMA,2,polio,32.361538,-86.279118
1940.083333,Jan-40,ALABAMA,4,polio,32.361538,-86.279118
1940.166667,Feb-40,ALABAMA,3,polio,32.361538,-86.279118
1940.25,Mar-40,ALABAMA,2,polio,32.361538,-86.279118
1940.333333,Apr-40,ALABAMA,2,polio,32.361538,-86.279118
1940.416667,May-40,ALABAMA,1,polio,32.361538,-86.279118
1940.5,Jun-40,ALABAMA,1,polio,32.361538,-86.279118
1940.583333,Jul-40,ALABAMA,13,polio,32.361538,-86.279118
1940.666667,Aug-40,ALABAMA,8,polio,32.361538,-86.279118
1940.75,Sep-40,ALABAMA,5,polio,32.361538,-86.279118
1940.833333,Oct-40,ALABAMA,5,polio,32.361538,-86.279118
1940.916667,Nov-40,ALABAMA,2,polio,32.361538,-86.279118
1941,Dec-40,ALABAMA,3,polio,32.361538,-86.279118
1941.083333,Jan-41,ALABAMA,0,polio,32.361538,-86.279118
1941.166667,Feb-41,ALABAMA,0,polio,32.361538,-86.279118
1941.25,Mar-41,ALABAMA,4,polio,32.361538,-86.279118
1941.333333,Apr-41,ALABAMA,3,polio,32.361538,-86.279118
1941.416667,May-41,ALABAMA,3,polio,32.361538,-86.279118
1941.5,Jun-41,ALABAMA,6,polio,32.361538,-86.279118
1941.583333,Jul-41,ALABAMA,150,polio,32.361538,-86.279118
1941.666667,Aug-41,ALABAMA,232,polio,32.361538,-86.279118
1941.75,Sep-41,ALABAMA,236,polio,32.361538,-86.279118
1941.833333,Oct-41,ALABAMA,95,polio,32.361538,-86.279118
1941.916667,Nov-41,ALABAMA,44,polio,32.361538,-86.279118
1942,Dec-41,ALABAMA,28,polio,32.361538,-86.279118
1942.083333,Jan-42,ALABAMA,5,polio,32.361538,-86.279118
1942.166667,Feb-42,ALABAMA,1,polio,32.361538,-86.279118
1942.25,Mar-42,ALABAMA,3,polio,32.361538,-86.279118
1942.333333,Apr-42,ALABAMA,1,polio,32.361538,-86.279118
1942.416667,May-42,ALABAMA,5,polio,32.361538,-86.279118
1942.5,Jun-42,ALABAMA,7,polio,32.361538,-86.279118
1942.583333,Jul-42,ALABAMA,12,polio,32.361538,-86.279118
1942.666667,Aug-42,ALABAMA,7,polio,32.361538,-86.279118
1942.75,Sep-42,ALABAMA,7,polio,32.361538,-86.279118
1942.833333,Oct-42,ALABAMA,6,polio,32.361538,-86.279118
1942.916667,Nov-42,ALABAMA,6,polio,32.361538,-86.279118
1943,Dec-42,ALABAMA,1,polio,32.361538,-86.279118
1943.083333,Jan-43,ALABAMA,3,polio,32.361538,-86.279118
1943.166667,Feb-43,ALABAMA,2,polio,32.361538,-86.279118
1943.25,Mar-43,ALABAMA,2,polio,32.361538,-86.279118
1943.333333,Apr-43,ALABAMA,4,polio,32.361538,-86.279118
1943.416667,May-43,ALABAMA,0,polio,32.361538,-86.279118
1943.5,Jun-43,ALABAMA,4,polio,32.361538,-86.279118
1943.583333,Jul-43,ALABAMA,3,polio,32.361538,-86.279118
1943.666667,Aug-43,ALABAMA,7,polio,32.361538,-86.279118
1943.75,Sep-43,ALABAMA,4,polio,32.361538,-86.279118
1943.833333,Oct-43,ALABAMA,5,polio,32.361538,-86.279118
1943.916667,Nov-43,ALABAMA,2,polio,32.361538,-86.279118
1944,Dec-43,ALABAMA,1,polio,32.361538,-86.279118
1944.083333,Jan-44,ALABAMA,0,polio,32.361538,-86.279118
1944.166667,Feb-44,ALABAMA,1,polio,32.361538,-86.279118
1944.25,Mar-44,ALABAMA,1,polio,32.361538,-86.279118
1944.333333,Apr-44,ALABAMA,2,polio,32.361538,-86.279118
1944.416667,May-44,ALABAMA,4,polio,32.361538,-86.279118
1944.5,Jun-44,ALABAMA,8,polio,32.361538,-86.279118
1944.583333,Jul-44,ALABAMA,34,polio,32.361538,-86.279118
1944.666667,Aug-44,ALABAMA,25,polio,32.361538,-86.279118
1944.75,Sep-44,ALABAMA,12,polio,32.361538,-86.279118
1944.833333,Oct-44,ALABAMA,7,polio,32.361538,-86.279118
1944.916667,Nov-44,ALABAMA,4,polio,32.361538,-86.279118
1945,Dec-44,ALABAMA,2,polio,32.361538,-86.279118
1945.083333,Jan-45,ALABAMA,2,polio,32.361538,-86.279118
1945.166667,Feb-45,ALABAMA,7,polio,32.361538,-86.279118
1945.25,Mar-45,ALABAMA,2,polio,32.361538,-86.279118
1945.333333,Apr-45,ALABAMA,18,polio,32.361538,-86.279118
1945.416667,May-45,ALABAMA,5,polio,32.361538,-86.279118
1945.5,Jun-45,ALABAMA,25,polio,32.361538,-86.279118
1945.583333,Jul-45,ALABAMA,22,polio,32.361538,-86.279118
1945.666667,Aug-45,ALABAMA,24,polio,32.361538,-86.279118
1945.75,Sep-45,ALABAMA,20,polio,32.361538,-86.279118
1945.833333,Oct-45,ALABAMA,11,polio,32.361538,-86.279118
1945.916667,Nov-45,ALABAMA,4,polio,32.361538,-86.279118
1946,Dec-45,ALABAMA,4,polio,32.361538,-86.279118
1946.083333,Jan-46,ALABAMA,1,polio,32.361538,-86.279118
1946.166667,Feb-46,ALABAMA,2,polio,32.361538,-86.279118
1946.25,Mar-46,ALABAMA,1,polio,32.361538,-86.279118
1946.333333,Apr-46,ALABAMA,3,polio,32.361538,-86.279118
1946.416667,May-46,ALABAMA,2,polio,32.361538,-86.279118
